,artno,country,url,headline,risk_scale,risk2,risk_explicit,risk_consensus,risk_precision,cancer_type,researchrelated
,10,australia,https://www.businessinsider.com.au/acrylamide-cancer-coffee-burned-foods-2019-3,"A chemical found in burned, charred, and toasted foods has been linked to cancer. Here's how worried you should be",9,8,chemical,burning or grilling food,,general,0
,11,australia,https://www.9news.com.au/national/a-current-affair-breast-implant-cancer-link-fears-tga-announcement-coming-latest-news-australia/4e20028e-d1d3-44a9-8e81-948d0835adf7,Living in fear': Decision due on breast implants linked to cancer,9,8,breast implants,textured breast implants,,general,0
,13,australia,https://www.businessinsider.com.au/lawsuit-allergan-knew-breast-implants-causing-cancer-2019-8,"A lawsuit claims a major breast implant maker knew its implants were likely causing cancer, and hid the complaints using fake company names",8,7,breast implant,textured breast implants,,general,0
,15,australia,https://www.businessinsider.com.au/cancer-linked-to-allergan-implants-what-its-like-2019-9,A woman got breast implants after a breast cancer diagnosis. Then she got cancer linked to the implants.,9,8,implants,textured breast implants,,general,0
,16,australia,https://www.9news.com.au/health/blood-pressure-medication-linked-lung-cancer/c865ac75-9b0a-49dd-b7e7-da26f0e35df2,Popular medication linked to lung cancer,9,8,popular medication,ACE inhibitor drugs,,lung cancer,1
,18,australia,https://coach.nine.com.au/health-issues/deodorant-antiperspirants-aluminium-cancer/9a8fbf43-0c1e-4a53-a656-ea0a4ef174fc,Don't avoid antiperspirants over fears about aluminium and cancer,5,5,antiperspirant,antiperspirants with aluminium,,general,0
,19,australia,https://www.businessinsider.com.au/anal-cancer-rates-rising-most-cases-linked-to-hpv-2019-11,"Anal cancer is on the rise in the US, and almost all cases are linked to HPV",9,8,HPV,HPV,,anal cancer,1
,21,australia,https://www.abc.net.au/news/2019-04-08/doctors-weigh-up-ban-of-breast-implant-linked-to-cancer/10979612,Lily survived breast cancer but fears developing another cancer because of her implants,9,8,her implants,textured breast implants,a person,general,0
,22,australia,https://www.theage.com.au/national/victoria/australian-farmer-sues-over-claims-roundup-caused-his-cancer-20191130-p53fnz.html,Australian farmer sues over claims Roundup caused his cancer,8,7,Roundup,glyphosate from Roundup,,general,0
,25,australia,https://www.businessinsider.com.au/bayer-stock-rallies-judge-cuts-roundup-cancer-payout-25-million-2019-7,Bayer is rallying after a judge slashed a payout over its cancer-linked Roundup weed killer by $55 million,9,8,Roundup weed killer,glyphosate from RoundUp,,general,0
,26,australia,https://www.abc.net.au/radionational/programs/breakfast/being-over-50-the-biggest-risk-factor-for-bowel-cancer/11172480,Being over 50 the 'biggest risk factor' for bowel cancer,10,9,being over 50,age,,bowel cancer,1
,29,australia,https://www.abc.net.au/news/2017-06-21/study-provides-new-clarity-of-breast-cancer-risk-for-carriers/8636200,Breast cancer study sheds light on genetic risks,9,8,genetic,genetic variants and mutations,,breast cancer,1
,34,australia,https://www.news.com.au/lifestyle/beauty/cosmetic-surgery/breast-implant-ban-recommended-after-links-to-rare-cancer/news-story/21264d4a41d9e434085f550db0a6acd7,Breast implants linked to rare cancer,9,8,breast implants,textured breast implants,,general,0
,35,australia,https://www.abc.net.au/news/2019-08-27/breast-implants-cancer-risks/11404656,Growing number of women seeking explant surgery due to new cancer risk,9,8,new cancer risk,textured breast implants,women,general,0
,36,australia,https://www.sbs.com.au/news/breast-implant-linked-to-cancer-recalled,Breast implant linked to cancer recalled,9,8,breast implant,textured breast implants,,general,0
,37,australia,https://7news.com.au/news/health/breast-implants-face-ban-over-cancer-fears-c-210325,Breast implants face bans over fears they're linked to rare cancer,9,8,breast implants,textured breast implants,,general,0
,38,australia,https://www.abc.net.au/news/2019-07-11/textured-breast-implants-face-ban-over-cancer-links/11279116,"Regulator set to ban breast implants more than 100,000 Australian women already have",9,8,breast implants,textured breast implants,,general,0
,42,australia,https://www.abc.net.au/news/2019-04-09/implants-allowed-in-australia-after-crackdown-in-france/10985400,Women can still get breast implants linked to cancer after regulator stops short of ban,9,8,breast implants,textured breast implants,,general,0
